frame,location
../../data/fish/frames/00003.00019.jpg,[508.89147779 947.30083244]
../../data/fish/frames/00003.00020.jpg,[511.68056867 947.81896489]
../../data/fish/frames/00003.00021.jpg,[515.02188632 946.88597309]
../../data/fish/frames/00003.00022.jpg,[515.4027783  945.62143277]
../../data/fish/frames/00003.00023.jpg,[515.21804352 943.94746434]
../../data/fish/frames/00003.00024.jpg,[514.39555819 943.13133978]
../../data/fish/frames/00004.00000.jpg,[515.55392595 943.9457029 ]
../../data/fish/frames/00004.00001.jpg,[515.24066426 944.88664883]
../../data/fish/frames/00004.00002.jpg,[515.57161267 944.58854457]
../../data/fish/frames/00004.00003.jpg,[519.54796822 943.38849314]
../../data/fish/frames/00004.00004.jpg,[525.23678096 942.74001058]
../../data/fish/frames/00004.00005.jpg,[528.73495825 941.90056833]
../../data/fish/frames/00004.00006.jpg,[532.86478908 943.2604005 ]
../../data/fish/frames/00004.00007.jpg,[538.49928863 943.72829228]
../../data/fish/frames/00004.00008.jpg,[543.74636658 945.79971986]
../../data/fish/frames/00004.00009.jpg,[549.65560396 944.49961   ]
../../data/fish/frames/00004.00010.jpg,[555.42934854 945.27267199]
../../data/fish/frames/00004.00011.jpg,[563.67089136 944.84996887]
../../data/fish/frames/00004.00012.jpg,[568.51588257 946.86106773]
../../data/fish/frames/00004.00013.jpg,[578.93744095 948.10486933]
../../data/fish/frames/00004.00014.jpg,[588.28363045 945.38926288]
../../data/fish/frames/00004.00015.jpg,[598.2493325  946.21711197]
../../data/fish/frames/00004.00016.jpg,[617.55308349 943.10749879]
../../data/fish/frames/00004.00017.jpg,[627.63464458 942.25197764]
../../data/fish/frames/00004.00018.jpg,[644.00492008 942.6770645 ]
../../data/fish/frames/00004.00019.jpg,[652.68448074 945.51115044]
../../data/fish/frames/00004.00020.jpg,[660.27685554 944.61543777]
../../data/fish/frames/00004.00021.jpg,[666.34278305 947.28136494]
../../data/fish/frames/00004.00022.jpg,[672.90322025 945.4674212 ]
../../data/fish/frames/00004.00023.jpg,[677.58890493 941.64758243]
../../data/fish/frames/00004.00024.jpg,[674.39998014 942.71811917]
../../data/fish/frames/00005.00000.jpg,[667.23868187 941.92228469]
../../data/fish/frames/00005.00001.jpg,[662.28971441 939.45635947]
../../data/fish/frames/00005.00002.jpg,[655.03430946 937.62463101]
../../data/fish/frames/00005.00003.jpg,[651.69987853 939.10872193]
../../data/fish/frames/00005.00004.jpg,[638.47451003 941.2408044 ]
../../data/fish/frames/00005.00005.jpg,[625.7882212  942.30044039]
../../data/fish/frames/00005.00006.jpg,[620.06245311 941.85087921]
../../data/fish/frames/00005.00007.jpg,[617.11914761 944.48441269]
../../data/fish/frames/00005.00008.jpg,[607.20499833 946.40863814]
../../data/fish/frames/00005.00009.jpg,[596.76995976 946.0050272 ]
../../data/fish/frames/00005.00010.jpg,[578.89169247 943.230935  ]
../../data/fish/frames/00005.00011.jpg,[568.6619056  941.15365996]
../../data/fish/frames/00005.00012.jpg,[562.32362635 941.15650647]
../../data/fish/frames/00005.00013.jpg,[553.21541007 941.22899697]
../../data/fish/frames/00005.00014.jpg,[546.91721423 939.624876  ]
../../data/fish/frames/00005.00015.jpg,[541.62720568 940.00935302]
../../data/fish/frames/00005.00016.jpg,[530.76821597 941.11988602]
../../data/fish/frames/00005.00017.jpg,[520.33177169 941.8063061 ]
../../data/fish/frames/00005.00018.jpg,[511.58258994 941.60414121]
../../data/fish/frames/00005.00019.jpg,[503.28786166 943.22470293]
../../data/fish/frames/00005.00020.jpg,[495.42249711 946.08998809]
../../data/fish/frames/00005.00021.jpg,[485.94335778 945.71929041]
../../data/fish/frames/00005.00022.jpg,[478.28747351 946.94877914]
../../data/fish/frames/00005.00023.jpg,[462.83920653 949.72506717]
../../data/fish/frames/00005.00024.jpg,[458.00792725 950.19815595]
../../data/fish/frames/00006.00000.jpg,[444.70660432 952.69610435]
../../data/fish/frames/00006.00001.jpg,[433.15949948 953.88561625]
../../data/fish/frames/00006.00002.jpg,[416.35150464 956.31724209]
../../data/fish/frames/00006.00003.jpg,[412.90876634 961.15959782]
../../data/fish/frames/00006.00004.jpg,[415.58739455 958.51787228]
